FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_49	15462.5	2933.5	2	1	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_50	5916.5	0	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_51	12814.5	0	1	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_52	6614.5	2620	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_53	55292.5	8832.5	1	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_54	9910.5	6086.5	1	1	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_55	14555.5	2199	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_56	5835	0	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_57	61319.5	5763	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_58	62563.5	11043.5	1	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_59	33559.5	8767	1	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_60	18669	6014.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_61	11699.5	5218.5	1	1	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_62	31637	5136.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_63	50955.5	5082.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_64	71625.5	13459	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_65	48200.5	10039.5	2	2	1
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_66	89232	15224.5	1	1	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_67	75020	11092	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_68	48458	9538	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_69	45579.5	13997.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_70	49429	12124.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_71	58261	5140	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_72	54760.5	8951.5	0	0	0
root11_CON_PP2A_asSOFL1_2_ch1_scaled_outline.txt	Cell_CP_73	46843	12116	0	0	0
