FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_101	4688.5	4688.5	63	11	10
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_102	8742.5	8742.5	40	15	14
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_103	2423	2423	8	4	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_104	734	734	3	1	1
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_105	11667	11667	60	6	6
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_106	6309.5	6309.5	32	9	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_107	4846	4846	24	9	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_108	4868	4868	14	5	5
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_109	5169	5169	22	10	10
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_110	4572.5	4572.5	27	3	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_111	7165.5	7165.5	29	13	13
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_112	3478.5	3478.5	18	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_113	1091	1091	4	1	0
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_114	5562.5	5562.5	35	11	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_115	2852.5	2852.5	20	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_116	1457.5	1457.5	6	3	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_117	3306.5	3306.5	17	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_118	4156	4156	19	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_119	5096	5096	12	9	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_120	4415	4415	20	8	8
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_121	1996	1996	10	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_122	3757	3757	22	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_123	4268	4268	21	10	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_124	4315	4315	24	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_125	3255.5	3255.5	15	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_126	5405.5	5405.5	19	9	8
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_127	3836	3836	17	9	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_128	4185	4185	6	1	1
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_129	3085.5	3085.5	15	3	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_130	5065	5065	47	8	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_131	2800	2800	19	3	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_132	3163	3163	15	3	3
